frame_idx,timestamp_s,lat,lon,speed_kmph,heading_deg
68,2.236,23.026753,72.568832,40.9,328.5
69,2.269,23.026834,72.568791,40.7,328.5
70,2.302,23.026860,72.568713,40.6,328.5
71,2.336,23.026891,72.568689,40.4,328.5
72,2.369,23.026986,72.568694,40.3,328.5
73,2.402,23.027040,72.568604,40.1,328.5
74,2.436,23.027080,72.568541,39.9,328.5
75,2.469,23.027194,72.568531,39.7,328.5
76,2.502,23.027292,72.568468,39.5,331.7
77,2.536,23.027289,72.568442,39.3,331.7
78,2.569,23.027400,72.568404,39.1,331.7
79,2.603,23.027432,72.568383,38.8,331.7
80,2.636,23.027519,72.568333,38.6,331.7
81,2.669,23.027616,72.568293,38.3,331.7
82,2.703,23.027653,72.568297,38.1,331.7
83,2.736,23.027716,72.568193,37.8,331.7
84,2.769,23.027776,72.568204,37.5,331.7
85,2.803,23.027839,72.568141,37.2,331.7
86,2.836,23.027930,72.568077,36.9,331.7
87,2.87,23.027913,72.568062,36.6,331.7
88,2.903,23.028028,72.568002,36.3,331.7
89,2.936,23.028106,72.567999,36.0,331.7
90,2.97,23.028116,72.567961,35.7,331.7
91,3.003,23.028197,72.567872,35.4,331.7
92,3.036,23.028274,72.567876,35.0,331.7
93,3.07,23.028300,72.567857,34.7,331.7
94,3.103,23.028391,72.567794,34.3,331.7
95,3.136,23.028446,72.567803,34.0,331.7
96,3.17,23.028473,72.567753,33.6,331.7
97,3.203,23.028549,72.567771,33.2,331.7
98,3.237,23.028554,72.567696,32.9,331.7
99,3.27,23.028651,72.567642,32.5,331.7
100,3.303,23.028765,72.567613,32.1,331.7
101,3.337,23.028827,72.567570,31.7,331.7
102,3.37,23.028829,72.567537,31.3,331.7
103,3.403,23.028853,72.567522,30.9,331.7
104,3.437,23.028916,72.567495,30.6,331.7
105,3.47,23.028918,72.567514,30.2,331.7
106,3.504,23.029020,72.567477,29.8,331.7
107,3.537,23.029047,72.567409,29.4,331.7
108,3.57,23.029209,72.567349,29.0,331.7
109,3.604,23.029131,72.567329,28.6,331.7
110,3.637,23.029232,72.567335,28.1,331.7
111,3.67,23.029301,72.567282,27.7,331.7
112,3.704,23.029269,72.567250,27.3,331.7
113,3.737,23.029391,72.567248,26.9,331.7
114,3.77,23.029350,72.567208,26.5,331.7
115,3.804,23.029485,72.567240,26.1,331.7
116,3.837,23.029505,72.567166,25.7,331.7
117,3.871,23.029499,72.567110,25.3,331.7
118,3.904,23.029576,72.567121,24.9,331.7
119,3.937,23.029632,72.567071,24.5,331.7
120,3.971,23.029626,72.567039,24.1,331.7
121,4.004,23.029666,72.567053,23.7,331.7
122,4.037,23.029674,72.567004,23.3,331.7
123,4.071,23.029788,72.567031,22.9,331.7
124,4.104,23.029815,72.566995,22.5,331.7
125,4.137,23.029840,72.566926,22.2,331.7
126,4.171,23.029870,72.566966,21.8,331.7
127,4.204,23.029951,72.566916,21.4,331.7
128,4.238,23.030049,72.566881,21.0,331.7
129,4.271,23.030011,72.566870,20.7,331.7
130,4.304,23.030023,72.566904,20.3,331.7
131,4.338,23.030103,72.566784,20.0,331.7
132,4.371,23.030085,72.566814,19.6,331.7
133,4.404,23.030148,72.566745,19.3,326.9
134,4.438,23.030096,72.566708,18.9,326.9
135,4.471,23.030185,72.566735,18.6,326.9
136,4.505,23.030226,72.566697,18.3,326.9
137,4.538,23.030212,72.566642,18.0,326.9
138,4.571,23.030283,72.566687,17.7,326.9
139,4.605,23.030329,72.566678,17.4,326.9
140,4.638,23.030324,72.566674,17.1,326.9
141,4.671,23.030353,72.566601,16.8,326.9
142,4.705,23.030369,72.566584,16.5,326.9
143,4.738,23.030350,72.566585,16.2,326.9
144,4.771,23.030441,72.566553,16.0,326.9
145,4.805,23.030441,72.566555,15.7,326.9
146,4.838,23.030531,72.566528,15.5,326.9
147,4.872,23.030496,72.566494,15.3,326.9
148,4.905,23.030532,72.566459,15.0,326.9
149,4.938,23.030554,72.566478,14.8,326.9
150,4.972,23.030631,72.566485,14.6,326.9
151,5.005,23.030632,72.566424,14.4,326.9
152,5.038,23.030645,72.566396,14.2,326.9
153,5.072,23.030658,72.566422,14.1,326.9
154,5.105,23.030651,72.566449,13.9,326.9
155,5.138,23.030709,72.566328,13.8,326.9
156,5.172,23.030731,72.566353,13.6,326.9
157,5.205,23.030738,72.566361,13.5,326.9
158,5.239,23.030770,72.566278,13.4,326.9
159,5.272,23.030749,72.566339,13.3,326.9
160,5.305,23.030837,72.566354,13.2,326.9
161,5.339,23.030871,72.566233,13.1,326.9
162,5.372,23.030864,72.566221,13.0,326.9
163,5.405,23.030908,72.566265,12.9,326.9
164,5.439,23.030854,72.566298,12.9,326.9
165,5.472,23.030923,72.566178,12.9,326.9
166,5.506,23.030934,72.566195,12.8,326.9
167,5.539,23.030950,72.566187,12.8,326.9
168,5.572,23.031005,72.566147,12.8,326.9
169,5.606,23.030997,72.566220,12.8,326.9
170,5.639,23.030987,72.566162,12.8,326.9
171,5.672,23.031035,72.566123,12.9,326.9
172,5.706,23.031068,72.566129,12.9,326.9
173,5.739,23.031046,72.566160,12.9,326.9
174,5.772,23.031113,72.566093,13.0,326.9
175,5.806,23.031096,72.566061,13.1,326.9
176,5.839,23.031168,72.566063,13.2,326.9
177,5.873,23.031168,72.566047,13.3,326.9
178,5.906,23.031194,72.566034,13.4,326.9
179,5.939,23.031219,72.566017,13.5,326.9
180,5.973,23.031243,72.566024,13.6,326.9
181,6.006,23.031240,72.565967,13.8,326.9
182,6.039,23.031240,72.565955,13.9,326.9
183,6.073,23.031261,72.565982,14.1,326.9
184,6.106,23.031310,72.565985,14.2,326.9
185,6.139,23.031396,72.565927,14.4,326.9
186,6.173,23.031316,72.565899,14.6,326.9
187,6.206,23.031379,72.565852,14.8,326.9
188,6.24,23.031399,72.565883,15.0,326.9
189,6.273,23.031418,72.565837,15.3,326.9
190,6.306,23.031434,72.565888,15.5,326.9
191,6.34,23.031476,72.565800,15.7,326.9
192,6.373,23.031496,72.565830,16.0,326.9
193,6.406,23.031514,72.565799,16.2,326.9
194,6.44,23.031578,72.565787,16.5,326.9
195,6.473,23.031623,72.565733,16.8,326.9
196,6.506,23.031644,72.565707,17.1,326.9
197,6.54,23.031630,72.565741,17.4,326.9
198,6.573,23.031692,72.565688,17.7,326.9
199,6.607,23.031666,72.565683,18.0,326.9
200,6.64,23.031711,72.565622,18.3,326.9
201,6.673,23.031740,72.565633,18.6,326.9
202,6.707,23.031731,72.565614,18.9,326.9
203,6.74,23.031824,72.565567,19.3,326.9
204,6.773,23.031879,72.565577,19.6,326.9
205,6.807,23.031866,72.565519,20.0,326.9
206,6.84,23.031934,72.565473,20.3,326.9
207,6.874,23.031940,72.565474,20.7,326.9
208,6.907,23.031984,72.565472,21.0,326.9
209,6.94,23.032018,72.565473,21.4,326.9
210,6.974,23.032058,72.565409,21.8,326.9
211,7.007,23.032055,72.565412,22.2,326.9
212,7.04,23.032138,72.565406,22.5,326.9
213,7.074,23.032141,72.565341,22.9,326.9
214,7.107,23.032197,72.565311,23.3,326.9
215,7.14,23.032237,72.565240,23.7,326.9
216,7.174,23.032297,72.565277,24.1,326.9
217,7.207,23.032345,72.565292,24.5,326.9
218,7.241,23.032346,72.565202,24.9,326.9
219,7.274,23.032396,72.565227,25.3,326.9
220,7.307,23.032390,72.565158,25.7,326.9
221,7.341,23.032439,72.565045,26.1,326.9
222,7.374,23.032466,72.565046,26.5,322.3
223,7.407,23.032590,72.565025,26.9,322.3
224,7.441,23.032596,72.564982,27.3,322.3
225,7.474,23.032661,72.564949,27.7,322.3
226,7.508,23.032723,72.564916,28.1,322.3
227,7.541,23.032710,72.564909,28.6,322.3
228,7.574,23.032776,72.564908,29.0,322.3
229,7.608,23.032823,72.564799,29.4,322.3
230,7.641,23.032850,72.564778,29.8,322.3
231,7.674,23.032930,72.564766,30.2,322.3
232,7.708,23.032954,72.564740,30.6,322.3
233,7.741,23.032990,72.564673,30.9,322.3
234,7.774,23.033056,72.564678,31.3,322.3
235,7.808,23.033097,72.564587,31.7,322.3
236,7.841,23.033120,72.564574,32.1,322.3
237,7.875,23.033182,72.564523,32.5,322.3
238,7.908,23.033196,72.564500,32.9,322.3
239,7.941,23.033262,72.564409,33.2,322.3
240,7.975,23.033378,72.564351,33.6,322.3
241,8.008,23.033399,72.564345,34.0,322.3
242,8.041,23.033426,72.564336,34.3,322.3
243,8.075,23.033546,72.564202,34.7,322.3
244,8.108,23.033520,72.564232,35.0,322.3
245,8.141,23.033577,72.564155,35.4,322.3
246,8.175,23.033670,72.564139,35.7,322.3
247,8.208,23.033715,72.564077,36.0,322.3
248,8.242,23.033756,72.564063,36.3,322.3
249,8.275,23.033819,72.563990,36.6,322.3
250,8.308,23.033875,72.563937,36.9,322.3
251,8.342,23.033940,72.563882,37.2,322.3
252,8.375,23.033975,72.563860,37.5,322.3
253,8.408,23.034098,72.563797,37.8,322.3
254,8.442,23.034137,72.563764,38.1,322.3
255,8.475,23.034201,72.563701,38.3,322.3
256,8.508,23.034240,72.563667,38.6,322.3
257,8.542,23.034295,72.563568,38.8,322.3
258,8.575,23.034353,72.563493,39.1,322.3
259,8.609,23.034412,72.563505,39.3,322.3
260,8.642,23.034506,72.563447,39.5,322.3
261,8.675,23.034558,72.563393,39.7,322.3
262,8.709,23.034565,72.563304,39.9,322.3
263,8.742,23.034628,72.563254,40.1,322.3
264,8.775,23.034732,72.563234,40.3,322.3
265,8.809,23.034792,72.563190,40.4,322.3
266,8.842,23.034866,72.563164,40.6,322.3
267,8.876,23.034883,72.563076,40.7,322.3
268,8.909,23.034948,72.562988,40.9,322.3
269,8.942,23.035044,72.563013,41.0,325.4
270,8.976,23.035090,72.562919,41.1,325.4
271,9.009,23.035185,72.562820,41.2,325.4
272,9.042,23.035226,72.562838,41.3,325.4
273,9.076,23.035271,72.562823,41.4,325.4
274,9.109,23.035378,72.562729,41.4,325.4
275,9.142,23.035415,72.562677,41.5,325.4
276,9.176,23.035469,72.562603,41.5,325.4
277,9.209,23.035586,72.562616,41.6,325.4
278,9.243,23.035636,72.562510,41.6,325.4
279,9.276,23.035736,72.562544,41.6,325.4
280,9.309,23.035751,72.562416,41.6,325.4
281,9.343,23.035788,72.562403,41.6,325.4
282,9.376,23.035852,72.562341,41.6,325.4
283,9.409,23.035972,72.562252,41.5,325.4
284,9.443,23.036062,72.562286,41.5,325.4
285,9.476,23.036040,72.562157,41.4,325.4
286,9.51,23.036131,72.562118,41.3,325.4
287,9.543,23.036197,72.562027,41.3,325.4
288,9.576,23.036263,72.562097,41.2,325.4
289,9.61,23.036304,72.561992,41.1,325.4
290,9.643,23.036359,72.561968,41.0,325.4
291,9.676,23.036457,72.561955,40.8,325.4
292,9.71,23.036533,72.561844,40.7,325.4
293,9.743,23.036607,72.561793,40.5,325.4
294,9.776,23.036619,72.561767,40.4,325.4
295,9.81,23.036714,72.561715,40.2,325.4
296,9.843,23.036792,72.561649,40.0,325.4
297,9.877,23.036857,72.561663,39.8,325.4
298,9.91,23.036878,72.561616,39.6,325.4
299,9.943,23.036964,72.561502,39.4,325.4
300,9.977,23.037098,72.561480,39.2,325.9
301,10.01,23.037131,72.561453,39.0,325.9
302,10.043,23.037111,72.561388,38.8,325.9
303,10.077,23.037203,72.561304,38.5,325.9
304,10.11,23.037230,72.561298,38.3,325.9
305,10.143,23.037354,72.561261,38.0,325.9
306,10.177,23.037390,72.561185,37.7,325.9
307,10.21,23.037431,72.561148,37.4,325.9
308,10.244,23.037489,72.561114,37.1,325.9
309,10.277,23.037575,72.561052,36.8,325.9
310,10.31,23.037627,72.561013,36.5,325.9
311,10.344,23.037691,72.561005,36.2,325.9
312,10.377,23.037753,72.560962,35.9,325.9
313,10.41,23.037760,72.560897,35.6,325.9
314,10.444,23.037868,72.560883,35.2,325.9
315,10.477,23.037873,72.560829,34.9,325.9
316,10.511,23.038003,72.560780,34.6,325.9
317,10.544,23.038023,72.560757,34.2,325.9
318,10.577,23.038086,72.560723,33.8,325.9
319,10.611,23.038134,72.560670,33.5,325.9
320,10.644,23.038164,72.560622,33.1,325.9
321,10.677,23.038271,72.560583,32.7,325.9
322,10.711,23.038284,72.560537,32.4,325.9
323,10.744,23.038360,72.560490,32.0,325.9
324,10.777,23.038414,72.560451,31.6,325.9
325,10.811,23.038410,72.560445,31.2,325.9
326,10.844,23.038491,72.560412,30.8,325.9
327,10.878,23.038565,72.560357,30.4,325.9
328,10.911,23.038596,72.560308,30.0,325.9
329,10.944,23.038665,72.560315,29.6,325.9
330,10.978,23.038692,72.560269,29.2,325.9
331,11.011,23.038702,72.560221,28.8,325.9
332,11.044,23.038782,72.560196,28.4,325.9
333,11.078,23.038816,72.560127,28.0,325.9
334,11.111,23.038862,72.560113,27.6,325.9
335,11.144,23.038871,72.560096,27.2,325.9
